date,open,high,low,close,volume,ticker,avg_sentiment,num_articles,sentiment_ma3,sentiment_lag1,log_article_count,sentiment_volatility,sentiment_close_corr
2025-04-28,210.0,211.5,207.46,210.14,38743074,AAPL,-0.5675297888313852,41,,,3.7376696182833684,,
2025-04-29,208.693,212.24,208.37,211.21,36827633,AAPL,-0.5751379524406633,38,,-0.5675297888313852,3.6635616461296463,,
2025-04-30,209.3,213.58,206.6705,212.5,52286454,AAPL,-0.6827767193317413,36,-0.6084814868679299,-0.5751379524406633,3.6109179126442243,,
2025-05-01,209.08,214.56,208.9,213.32,57365675,AAPL,-0.39685733694779246,76,-0.5515906695733991,-0.6827767193317413,4.343805421853684,,
2025-05-02,206.09,206.99,202.16,205.35,101010621,AAPL,-0.3979179084300995,70,-0.49251732156987776,-0.39685733694779246,4.2626798770413155,,-0.40463524459156625
2025-05-05,203.1,204.1,198.21,198.89,69018452,AAPL,-0.5051191915636477,46,-0.4332981456471799,-0.3979179084300995,3.8501476017100584,,-0.24364396472600275
2025-05-06,198.21,200.65,197.02,198.51,51216482,AAPL,-0.4915647256374359,50,-0.4648672752103944,-0.5051191915636477,3.9318256327243257,0.10232096944314091,-0.15627012123546521
2025-05-07,199.17,199.44,193.25,196.25,68616943,AAPL,-0.7202738098800182,40,-0.5723192423603672,-0.4915647256374359,3.713572066704308,0.1280253835263389,0.7545842547408337
2025-05-08,197.72,200.05,194.6796,197.49,50478872,AAPL,-0.4120005965232849,46,-0.5412797106802464,-0.7202738098800182,3.8501476017100584,0.1349121092262312,0.6167773966188951
