date,open,high,low,close,volume,ticker,avg_sentiment,num_articles,sentiment_ma3,sentiment_lag1,log_article_count,sentiment_volatility,sentiment_close_corr
2023-05-10,107.97,112.94,107.93,111.75,63153367,GOOGL,0.0,0.0,,,0.0,,
2023-05-11,115.395,117.92,114.41,116.57,78900029,GOOGL,0.0,0.0,,0.0,0.0,,
2023-05-12,116.68,118.03,116.11,117.51,41102330,GOOGL,0.0,0.0,0.0,0.0,0.0,,
2023-05-15,116.11,118.48,116.01,116.51,36266765,GOOGL,0.0,0.0,0.0,0.0,0.0,,
2023-05-16,116.49,120.75,116.43,119.51,45035558,GOOGL,0.0,0.0,0.0,0.0,0.0,,
2023-05-17,119.61,121.67,118.89,120.84,33323588,GOOGL,0.0,0.0,0.0,0.0,0.0,,
2023-05-18,120.95,123.31,120.83,122.83,35234233,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-05-19,123.55,125.97,122.15,122.76,41353445,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-05-22,122.94,126.43,122.74,125.05,35253034,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-05-23,124.16,124.625,122.2104,122.56,34046251,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-05-24,121.12,121.91,119.86,120.9,34182635,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-05-25,124.52,125.32,121.96,123.48,42316986,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-05-26,123.17,125.26,122.45,124.61,35635937,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-05-30,125.64,125.66,122.0,123.67,35076658,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-05-31,122.75,124.0601,122.5,122.87,37244191,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-01,122.815,124.42,122.62,123.72,30772683,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-02,123.99,126.15,123.76,124.67,26980147,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-05,124.01,127.43,123.84,126.01,32305531,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-06,126.01,128.29,125.36,127.31,26638295,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-07,126.97,129.04,122.12,122.5,52538986,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-08,122.225,123.225,121.24,122.14,29389167,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-09,122.25,123.755,121.91,122.23,23778319,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-12,122.785,124.05,121.66,123.64,28338743,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-13,124.98,125.16,123.18,123.83,22278313,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-14,123.1,124.05,121.45,123.67,30592297,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-15,123.14,125.46,122.4,125.09,35246268,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-16,125.93,126.108,123.28,123.53,45535553,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-20,122.93,124.57,122.14,123.1,26097492,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-21,122.4,122.66,120.1,120.55,30306336,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-22,120.0,123.24,118.83,123.15,26952246,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-23,121.38,122.7879,121.06,122.34,34913637,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-26,120.76,122.0,118.265,118.34,33969897,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-27,117.08,119.08,116.1,118.33,39535936,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-28,117.09,120.39,116.85,120.18,27091449,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-29,119.24,120.06,118.295,119.1,24090902,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-30,120.17,121.08,119.69,119.7,29532241,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-07-03,119.24,120.19,118.8182,119.9,14467850,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-07-05,119.24,122.61,119.23,121.75,27584809,GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,
